reviewIndex	encodedSenderId	encodedTargetId	reviewContent	reviewRate	reviewType	DateTime
14007	2bebbf0dd26b61eb14e4b99c7054abb0402a5b88616e991c5cb70ba41e275a85	5a6ef5079533cd88e2b52b0fed225726e01b763bff8d0413d6db1d955d32b93c	매주 오셔서 아이와 잘 놀아주세요~ 아이가 원해서 주 2회로 늘릴 예정입니다 성실하고 좋으신 분 같습니다.	5	recruitReview	2021-01-01 17:57:09
14005	13796279e843157b420451f7155df5bacec66e9323b89ef1c0689cdcef283a87	9a44302231d9698d494813115a5f24bfc8f42462f574df37a9dc192601d2f44c	아이가 너무 이 쁘고 잘 따라줘서 함께 할 수 있음에 늘 감사했습니다	5	recruitReview	2021-01-01 20:37:07
14008	5a6ef5079533cd88e2b52b0fed225726e01b763bff8d0413d6db1d955d32b93c	2bebbf0dd26b61eb14e4b99c7054abb0402a5b88616e991c5cb70ba41e275a85	친절하게 대해 주시고 아이도 밝아 함께 즐거운 시간 보낼 수 있었습니다 :)	5	recruitReview	2021-01-03 16:37:02
14019	a7cf2268939899ee6d42d22578e73e7d434b93f07565bb3d2da9164a28a00c51	7d4a25031f5a15141275e08712537464836bbe2cc81512cadfa828d619cbba4a	어머님도 친절하시고 두 아이도 밝고 귀엽습니다~ 앞으로 계속 좋은 인연 되길 바랄게요	5	recruitReview	2021-01-04 20:24:36
14016	6f76ac27ec03b10254b65997328df7c6ea3d55ecaa991a7c7b5d6275226116c1	14d67b0380a7b5ad78731d6fad2aa23e8f93d0097e5a8bcb89a8c280665aac23	저희 아이가 선생님을 잘 따르고 좋아해서 채용 후 현재 계속 활동하시고 계신데 좋은 선생님 만나서 든든합니다. 시간 약속도 잘 지켜주셨고, 안전에 유의해 주시고 요청드린 부탁 사항들도 모두 잘 해주셨어요. 영어로 활동해 주시고 계신데 발음도 정말 좋으시고, 아이에게 꾸준히 관심 가져주시고, 좋은 영향을 주시는 것 같아요. 앞으로도 잘 부탁드려요 감사합니다.	5	recruitReview	2021-01-02 11:03:38
14018	f2fb58a90b197ae650b6b2c4ebf9f464eb6c85fbf22f4145b4f51d7f3bfcf219	8727424da62560c7946a4d337f2cfa770f38f2eae4c620acbab85cf0c6be6f72	아이 보고 있고요 아이도 너무 귀엽고 어머님도 너무너무 좋으세요! 새해 복 많이 받으세요 :)	5	recruitReview	2021-01-01 21:52:20
14002	07788f73dd84b096b85460dc435752a383b2725f3d1745b07f4bf6fdc8f6ebfd	0fb8845ed22b917483de95148e0766c15b35038f826ff8666f3a0b9d25c6de3d	친절하시고 아이도 매우 착합니다.	5	recruitReview	2021-01-02 12:03:52
14010	e91be87bca79418738d447982e0fe41d21e6723a8aadeb4741251924e29f124b	ab0f6250d1c6998e2e4b4e68c984bdae05560854ac19dcac21a43b51f4f1a61b	셋째 출산으로 두 형제와 긴 시간을 보내게 되었는데, 아이들이 너무 착하고 밝게 잘 따라주어서 재밌고 즐거운 시간 보내다 갈 수 있었습니다 ㅎㅎ 어머님, 아버님도 친절하시고 세심하게 잘 챙겨주셔서 감사했어 용 다음에 기회가 되면 또 봬요!!	5	recruitReview	2021-01-02 18:29:24
14013	d07c3f3b701722ae1950390ca356bc6b485695c505a7999de967fae695d93eb7	7751c0822e833a544909ce74f3c3bc67e6bd4d3d3616d4a07d3dd3ec5f6f2f35	어머님이 친절하셨고 아이들도 정말 착했어요 특히 첫째가 둘째를 위한 마음이 정말 보기 좋았어요 -	5	recruitReview	2021-01-07 16:46:07
14015	6029a6cfc34a4906a683d09d88e415564d44b314d3bf9af4a5ecfcac63684d6f	797a217fc2a7811c556b4639dd4749fad3d53bf17b075f53dcf9f93503feb4d9	가족들이 재미있고 유쾌해요. 배려 심도 있어서 즐겁게 일했어요~	5	recruitReview	2021-01-03 17:58:25
